標題,視點主角,內文,選擇1內文,選擇1效果,選擇1故事內文,選擇2內文,選擇2效果,選擇2故事內文,選擇3內文,選擇3效果,選擇3故事內文
弟弟被欺負,弟弟,我在學校被欺負，哭著回家，求大家別說出去。,爸爸去學校找老師,希望+ 和諧- 情緒0,爸爸衝去學校，對方道歉了，但同學都說我愛告狀。,哥哥每天陪我上下學,和諧+ 情緒+ 希望-,哥哥每天接送我，沒人再欺負我，但他社團都不能去了。,媽媽偷偷聯繫老師,和諧+ 希望+ 情緒-,媽媽瞞著我打電話給老師，問題解決了，但我氣媽媽騙我。
外地高薪工作,爸爸,孩子拿到外地大廠的offer，我既驕傲又不捨。,我支持他去,希望+ 情緒+ 和諧-,我說「去吧」，孩子充滿信心，但妻子轉頭偷偷擦眼淚。,我勸他留在本地,和諧+ 希望- 情緒-,我說「留在身邊吧」，孩子猶豫了，但我知道他會遺憾。,我讓他先試一年,和諧+ 希望+ 情緒-,我說「先試一年，不行再回來」，他答應了，但多了牽掛。
媽媽看中貴衣服,爸爸,妻子看中一件大衣，但最近家裡開支緊。,我咬牙買下送她,和諧+ 情緒+ 希望-,我掏錢買了，她好開心，但月底連看電影的錢都沒了。,我勸她等打折,希望+ 情緒- 和諧0,我說「等打折再買」，她點點頭，但走過櫥窗時還是回頭看了好幾眼。,我直接說太貴了,和諧- 情緒- 希望0,我說「現在沒錢」，她沒說話，默默走開了。
考研失敗,媽媽,孩子考研失利，垂頭喪氣，我好心疼。,我做美食安慰他,和諧+ 情緒+ 希望-,我做了一桌他愛吃的，他勉強笑了笑，但還是心事重重。,我幫他找調劑學校,希望+ 情緒- 和諧0,我四處打聽調劑資訊，他不太願意，但還是配合著填了資料。,我建議他先休息,情緒+ 和諧- 希望0,我說「先休息一陣子」，他鬆了口氣，但我知道他心裡還是不甘。
客人來訪與遊戲,姐姐,我正聯機打遊戲，客人快到了，媽媽催我收拾客廳。,我立刻暫停去收拾,和諧+ 情緒- 希望0,我關掉遊戲開始收拾，客人準時到，但我的隊友大概氣炸了。,媽媽自己動手收拾,和諧+ 情緒- 希望0,媽媽嘆口氣自己收拾，我繼續打，但她忙得滿頭大汗。,爸爸大聲命令我收,希望+ 和諧- 情緒-,爸爸吼我，我嚇得關機，但父子間的氣氛變得好僵。
爸爸教修車沒興趣,姐姐,爸爸想教我修車，但我完全沒有興趣。,爸爸硬拉著我學完,和諧+ 希望+ 情緒-,爸爸教了兩小時，我勉強學會換機油，但全程臉都很臭。,我直接說沒興趣,情緒+ 和諧- 希望0,我說「我不想學」，爸爸愣住，默默把工具箱收起來。,媽媽幫我說話,情緒+ 和諧- 希望0,媽媽說「算了」，爸爸不說話，轉身走進屋裡。
發現爸媽吵架,姐姐,我聽到爸媽在吵架，站在門口，不知道該怎麼辦。,爸爸主動跟我解釋,和諧+ 希望+ 情緒-,爸爸深吸口氣說「我們只是意見不合」，我似懂非懂點點頭。,媽媽抱住我說沒事,和諧+ 情緒+ 希望-,媽媽蹲下來抱緊我，我稍微安心，但他們之間還是不說話。,我躲進房間戴耳機,和諧- 情緒- 希望0,我快步回房間把音樂開到最大，但眼淚還是掉了下來。
假期旅行意見不合,爸爸,我想去爬山，妻子想海邊，孩子想遊樂場。,我們投票決定,希望+ 和諧- 情緒0,全家投票，妻子贏了，我和孩子只好聳聳肩接受。,我讓步,和諧+ 希望- 情緒0,我說「去海邊吧」，她們都笑了，但我默默收起了登山杖。,孩子說「隨便」,和諧- 情緒- 希望0,孩子說「隨便你們」就回房間，我們面面相覷，氣氛瞬間冷了。
發現父母變老,媽媽,我照鏡子看到白髮和皺紋，突然覺得自己老了。,我笑著給孩子看舊照片,和諧+ 情緒+ 希望-,我搬出三大本相冊，我們在客廳坐了一整個下午，好開心。,我拉丈夫一起回憶,和諧+ 希望+ 情緒-,我拉著丈夫講年輕時的事，孩子在一旁聽得津津有味。,我自己感嘆歲月，沉默,和諧- 情緒- 希望0,我摸著白髮沉默了好久，孩子不知道該說什麼。
成立小家庭父母盼歸,姐姐,我有了自己的小家，爸媽總盼著我回去，但工作很忙。,我每週帶伴侶回家,和諧+ 情緒- 希望-,我每週日回家吃飯，爸媽總是大費周章，但我們來回奔波好累。,爸媽主動來看我,和諧+ 情緒+ 希望-,爸媽帶了一堆菜來我家，我好驚喜，但房間變得好擠。,我接爸媽來同住,和諧+ 情緒+ 希望-,我把客房整理出來，三代同堂很溫馨，但生活習慣開始出現摩擦。
