title,icon,maxParticipants,roleRequirement,existenceDuration,spawnMin,spawnMax,workDuration,successOutcome,failureOutcome
爸爸深夜醉酒回家,🍺,2,妈妈 且 (哥或妹),18,85,115,10,"【全家】融洽+15,【爸爸】情绪+10","【全家】压力+25,【全家】融洽-15"
妹妹玩具丢了嚎啕大哭,🧸,2,哥哥 且 妹妹,12,10,40,6,"【兄妹】情绪+15,【全家】融洽+10","【全家】压力+15,【妹妹】情绪-20"
全家桶优惠券到期,🎫,1,任意1人,8,5,35,3,"【全家】融洽+10,情绪+5","【全家】压力+5,情绪-5"
长辈发朋友圈索赞,👍,2,爸爸 且 妈妈,15,30,60,7,"【全家】融洽+15,希望+10",【全家】融洽-10
哥哥打游戏声音太大,🎧,2,妈妈 且 哥哥,10,60,90,5,"【全家】压力-10,【妈妈】情绪+10","【全家】压力+20,【母子】情绪-15"
妹妹弄脏新衣服,👗,1,妈妈 或 妹妹,12,20,50,6,"【全家】融洽+5,【妹妹】情绪+10","【全家】压力+15,【妈妈】情绪-15"
爸爸的汽车警报响了,🚗,1,爸爸 必须参加,10,15,45,5,"【全家】压力-10,【爸爸】情绪+10","【全家】压力+20,【爸爸】情绪-15"
天降不明快递,📦,1,任意1人,14,40,70,6,"【全家】希望+10,【全家】融洽+5",【全家】压力+5
哥哥房间飘出异味,🧦,2,妈妈 且 哥哥,12,55,85,7,"【全家】压力-10,【全家】融洽+5","【全家】压力+20,【妈妈】情绪-15"
妹妹把画画在白墙上,🎨,2,爸爸 且 妹妹,15,25,55,8,"【全家】融洽+15,【父女】情绪+10","【全家】压力+20,【妈妈】情绪-20"
邻居投诉噪音,🤫,2,爸爸 或 妈妈,10,60,90,5,"【全家】压力-15,【融洽】+10","【全家】压力+25,【融洽】-15"
哥哥模拟考严重退步,📉,2,爸爸 且 哥哥,18,75,105,11,"【全家】希望+15,【父子】情绪+10","【全家】压力+30,【全家】希望-15"
突然有重要客人拜访,👥,4,全家 必须全部参加,22,40,80,15,"【全家】希望+30,【全家】融洽+20","【全家】压力+25,【全家】希望-10"
爸爸弄丢结婚戒指,💍,2,爸爸 且 (哥或妹),15,15,50,9,"【全家】融洽+20,【爸爸】情绪+20","【全家】压力+35,【全家】融洽-25"
妈妈买的植物枯萎了,🪴,1,妈妈 或 妹妹,12,35,65,5,"【全家】融洽+5,【操作者】情绪+10","【全家】压力+10,【妈妈】情绪-15"
哥哥熬夜写不完作业,⏰,2,哥哥 且 (爸或妈),16,80,110,10,"【全家】希望+15,【哥哥】压力-10","【全家】压力+25,【哥哥】情绪-20"
妹妹生病额头滚烫,🤒,3,除了妈妈的任意3人,20,10,40,13,"【全家】压力-20,【妹妹】情绪+20,【融洽】+15","【全家】压力+40,【全家】情绪-20"
家里酱油用光了,🍾,1,哥哥 或 妹妹,10,45,75,5,"【全家】融洽+10,【妈妈】情绪+10","【全家】压力+15"
爸爸钓鱼空手而归,🎣,2,全家任意2人,14,50,80,7,"【全家】融洽+15,【爸爸】情绪+15","【全家】压力+10,【爸爸】情绪-20"
全家福照片相框掉落,🖼️,2,爸爸 且 妈妈,12,60,90,6,"【全家】融洽+20,【全家】压力-5","【全家】压力+20,【全家】融洽-15"
